Region,Region Name,Store,Store Name,Store Postcode,Small Trolley,Large Trolley,Total Trolleys,Trolleys (Y/N),Handheld Basket,Rollable Basket,Total Baskets,Baskets (Y/N),Frequency of Basket Clean,Total per Annum,Latitude,Longitude
340,Doncaster,1233,MAN-Harpurhey,M9 4DA,10,67,77,Yes,108,34,142,Yes,Bi-monthly,6,53.51239885,-2.2093848
340,Doncaster,1406,Brigg,DN20 8AR,27,50,77,Yes,0,56,56,Yes,Quarterly,4,53.5568277,-0.49643105
490,Motherwell,1158,Dingwall,IV15 9JZ,36,41,77,Yes,0,48,48,Yes,Quarterly,4,57.596902033333336,-4.427227883
590,Peterborough,1040,Sleaford,NG34 7AQ,57,20,77,Yes,70,0,70,Yes,Quarterly,4,53.0046288,-0.4133386
590,Peterborough,1128,NOT-Beeston,NG9 2NG,43,34,77,Yes,93,0,93,Yes,Bi-monthly,6,52.92834947857143,-1.2173666
590,Peterborough,1625,PET-Lincoln Road,PE4 6LA,39,38,77,Yes,85,0,85,Yes,Quarterly,4,52.6080344,-0.2772987
590,Peterborough,1626,NOR-Aylsham Road,NR3 2RY,50,27,77,Yes,110,0,110,Yes,Bi-monthly,6,52.6506493,1.2808569142857145
250,Belvedere,1179,LON-Norbury,SW16 3LH,34,44,78,Yes,42,90,132,Yes,Bi-monthly,6,51.414364,-0.123631
260,Newton Aycliffe,1624,SUN-North Hylton Road,SR5 3FF,39,39,78,Yes,58,18,76,Yes,Bi-monthly,6,54.92171,-1.42828
300,Bridgend,1234,NPT-Usk Way,NP20 2AE,13,65,78,Yes,20,25,45,Yes,Bi-monthly,6,51.58367478181818,-2.9889344
310,Northfleet,1878,Ditton,ME20 6DF,52,26,78,Yes,78,0,78,Yes,Quarterly,4,51.2911,0.5022
320,Southampton,1946,BRT-Old Shoreham Road,BN3 7PN,19,59,78,Yes,107,84,191,Yes,Bi-monthly,6,50.83831415,-0.17366485
340,Doncaster,1628,Mablethorpe,LN12 1DP,41,37,78,Yes,13,70,83,Yes,Bi-monthly,6,53.33929106666667,0.25662406666666665
430,Exeter,871,PLY-Transit,PL5 3TW,53,25,78,Yes,0,51,51,Yes,Quarterly,4,50.4108006,-4.1504089
490,Motherwell,1602,GLA-Yoker,G81 1BN,38,40,78,Yes,0,17,17,Yes,Bi-monthly,6,55.8917338,-4.3856345
220,Runcorn,1802,Skelmersdale,WN8 6,17,62,79,Yes,0,82,82,Yes,Quarterly,4,53.5463,-2.7484
220,Runcorn,2059,WAR-Burtonwood Road,WA5 3ZT,34,45,79,Yes,0,60,60,Yes,Bi-monthly,6,53.4071916,-2.6467117
250,Belvedere,34,LON-Streatham,SW16 1BB,33,46,79,Yes,36,55,91,Yes,Monthly,12,51.43135908,-0.1295608
260,Newton Aycliffe,969,Ashington,NE63 9AQ,17,62,79,Yes,0,33,33,Yes,Quarterly,4,55.18567135,-1.5668938
290,Enfield,275,LON-Limehouse,E14 7DL,23,56,79,Yes,16,180,196,Yes,Monthly,12,51.5125919,-0.028225955
320,Southampton,1343,Crawley,RH10 1NP,32,47,79,Yes,0,48,48,Yes,Bi-monthly,6,51.1184503,-0.1626296
340,Doncaster,1026,LEE-Halton,LS15 0DL,24,55,79,Yes,0,70,70,Yes,Bi-monthly,6,53.7955113,-1.4715576
360,Wednesbury,1346,Newcastle Under Lyme,ST5 2RS,18,61,79,Yes,0,62,62,Yes,Quarterly,4,53.01199753333333,-2.231293467
360,Wednesbury,1032,WOL-Fallings Park,WV11 1BQ,29,50,79,Yes,0,164,164,Yes,Bi-monthly,6,52.6138894,-2.0967355
460,Avonmouth,1408,Portishead,BS20 7DE,23,56,79,Yes,0,71,71,Yes,Bi-monthly,6,51.48576429,-2.76513355
590,Peterborough,1648,NOT-Bulwell,NG6 8EQ,67,12,79,Yes,53,0,53,Yes,Bi-monthly,6,53.00358178,-1.1939086
600,Luton,533,BED-Lurke Street,MK40 3HY,64,15,79,Yes,0,0,0,No,Monthly,12,52.1382031,-0.4662557
220,Runcorn,729,PRE-West Strand,PR1 8UY,40,40,80,Yes,0,50,50,Yes,Bi-monthly,6,53.76135058888888,-2.719594167
220,Runcorn,1063,LIV-Kensington,L7 2RN,51,29,80,Yes,0,95,95,Yes,Monthly,12,53.411813280000004,-2.9461234
250,Belvedere,756,LON-Woolwich,SE18 6LW,20,60,80,Yes,87,96,183,Yes,Monthly,12,51.492653,0.0660093
260,Newton Aycliffe,2060,STK-Norton,TS20 2RZ,30,50,80,Yes,0,65,65,Yes,Bi-monthly,6,54.58749,-1.30877
290,Enfield,1422,LON-South Ruislip,HA4 0QQ,38,42,80,Yes,0,82,82,Yes,Bi-monthly,6,51.5576969,-0.3840902
300,Bridgend,420,HER-Retail Park,HR1 2BQ,23,57,80,Yes,0,84,84,Yes,Quarterly,4,52.0591193,-2.70593555
340,Doncaster,454,BOL-Crompton,BL1 8TH,37,43,80,Yes,0,36,36,Yes,Quarterly,4,53.6015833,-2.4313112
340,Doncaster,1665,Gainsborough,DN21 2ER,19,61,80,Yes,0,128,128,Yes,Bi-monthly,6,53.398604660000004,-0.77349822
360,Wednesbury,1462,LEI-Fosse Road North,LE3 5EZ,46,34,80,Yes,0,76,76,Yes,Bi-monthly,6,52.6396691,-1.1528172
360,Wednesbury,1727,South Wigston,LE18 4SE,13,67,80,Yes,0,87,87,Yes,Quarterly,4,52.58147598,-1.1265809
360,Wednesbury,1079,BIR-Sutton Coldfield,B73 5AB,36,44,80,Yes,0,47,47,Yes,Quarterly,4,52.54816215454546,-1.860125564
360,Wednesbury,1729,Wilmslow,SK9 2TA,17,63,80,Yes,0,184,184,Yes,Bi-monthly,6,53.33690895,-2.2159619
360,Wednesbury,1135,Willenhall,WV13 2BU,28,52,80,Yes,0,38,38,Yes,Quarterly,4,52.5823494,-2.0574857
430,Exeter,1349,Bodmin,PL31 2AA,45,35,80,Yes,0,36,36,Yes,Quarterly,4,50.4709378,-4.7138844
430,Exeter,1370,Crewkerne,TA18 7LU,25,55,80,Yes,0,62,62,Yes,Quarterly,4,50.884394,-2.7947141
460,Avonmouth,1675,BRS-Lawrence Weston,BS11 0PZ,39,41,80,Yes,35,107,142,Yes,Bi-monthly,6,51.502464780000004,-2.65669924
490,Motherwell,419,Forfar,DD8 3JA,35,45,80,Yes,0,72,72,Yes,Quarterly,4,56.64700021,-2.891677675
490,Motherwell,1162,Kirkwall,KW15 1RP,28,52,80,Yes,0,125,125,Yes,Quarterly,4,58.9814969,-2.9690851
590,Peterborough,280,March,PE15 8AN,60,20,80,Yes,48,0,48,Yes,Quarterly,4,52.55172683333333,0.085725567
590,Peterborough,1546,Halstead,CO9 1HJ,65,15,80,Yes,75,0,75,Yes,Bi-monthly,6,51.9427872,0.6342288
250,Belvedere,821,LON-Lewisham,SE13 5PR,42,39,81,Yes,60,85,145,Yes,Monthly,12,51.45940941111111,-0.003855967
260,Newton Aycliffe,1640,LEE-Gipton,LS9 6SR,33,48,81,Yes,39,41,80,Yes,Bi-monthly,6,53.81271,-1.49496
290,Enfield,570,LON-Cricklewood,NW2 6ND,0,81,81,Yes,180,110,290,Yes,Monthly,12,51.56294,-0.22132
310,Northfleet,564,LON-Romford,RM1 1TB,42,39,81,Yes,101,64,165,Yes,Monthly,12,51.5739376,0.18312975
360,Wednesbury,1357,NUN-Queen's Road,CV11 5LD,47,34,81,Yes,0,26,26,Yes,Bi-monthly,6,52.522493,-1.4746137
490,Motherwell,1157,Buckie,AB56 1PJ,33,48,81,Yes,0,137,137,Yes,Quarterly,4,57.675828233333334,-2.961716067
590,Peterborough,1476,North Walsham,NR28 9AS,42,39,81,Yes,57,0,57,Yes,Bi-monthly,6,52.8199708,1.3889782
600,Luton,1904,LON-Heston,UB2 5LN,12,69,81,Yes,0,125,125,Yes,Bi-monthly,6,51.4991759,-0.407742
220,Runcorn,1805,CHS-Sealand Road,CH1 4QG,48,34,82,Yes,0,76,76,Yes,Quarterly,4,53.196678639999995,-2.915084353
260,Newton Aycliffe,1605,GAT-Swalwell,NE16 3AF,30,52,82,Yes,88,74,162,Yes,Bi-monthly,6,54.9544842,-1.6864891
300,Bridgend,431,Barry,CF63 1BP,26,56,82,Yes,0,54,54,Yes,Quarterly,4,51.4248657,-3.2530598
320,Southampton,274,POR-Goldsmith Avenue,PO4 0BS,31,51,82,Yes,128,10,138,Yes,Monthly,12,50.796073533333335,-1.074146167
360,Wednesbury,1033,Netherton,DY2 9NP,32,50,82,Yes,0,70,70,Yes,Quarterly,4,52.4831532,-2.0717734
430,Exeter,432,Hayle,TR27 5PN,60,22,82,Yes,0,75,75,Yes,Bi-monthly,6,50.1967374,-5.4006766
490,Motherwell,1228,Coatbridge,ML5 4FQ,28,54,82,Yes,0,70,70,Yes,Quarterly,4,55.8547667,-4.021419
490,Motherwell,1831,ABE-Hutcheon Street,AB25 3TB,43,39,82,Yes,0,74,74,Yes,Monthly,12,57.15422985,-2.1048823
590,Peterborough,815,NOT-Mansfield Road,NG5 2DA,55,27,82,Yes,89,100,189,Yes,Monthly,12,52.97257293,-1.152528392
220,Runcorn,1783,WIG-Bridge Street,WA3 3XT,25,58,83,Yes,0,60,60,Yes,Bi-monthly,6,53.4723529,-2.5978608
260,Newton Aycliffe,1332,Norton,YO17 9DP,31,52,83,Yes,0,78,78,Yes,Quarterly,4,54.1317689,-0.7918997
260,Newton Aycliffe,1683,Richmond,DL10 4AJ,45,38,83,Yes,0,71,71,Yes,Bi-monthly,6,54.40558045,-1.73838505
260,Newton Aycliffe,2020,Harrogate,HG2 7LU,59,24,83,Yes,0,65,65,Yes,Bi-monthly,6,53.9961883,-1.5092184
310,Northfleet,985,MAI-Tovil,ME15 6RG,65,18,83,Yes,89,0,89,Yes,Quarterly,4,51.2624527,0.5112115
340,Doncaster,1356,Featherstone,WF7 5HG,47,36,83,Yes,0,41,41,Yes,Bi-monthly,6,53.6740745,-1.3582932
460,Avonmouth,1172,Wincanton,BA9 9EB,19,64,83,Yes,0,38,38,Yes,Quarterly,4,51.0498889,-2.41622395
460,Avonmouth,1759,BRS-Horfield,BS7 9RB,21,62,83,Yes,0,95,95,Yes,Bi-monthly,6,51.48421855,-2.578984133
490,Motherwell,1345,Inverurie,AB51 0GZ,35,48,83,Yes,4,64,68,Yes,Quarterly,4,57.28762287777778,-2.372915411
490,Motherwell,1951,Bellshill,ML4 3NW,25,58,83,Yes,0,69,69,Yes,Bi-monthly,6,55.8210082,-4.0344366
590,Peterborough,654,Market Harborough,LE16 8AN,39,44,83,Yes,70,0,70,Yes,Quarterly,4,52.47679865,-0.9113357
590,Peterborough,1804,COL-St Andrews Avenue,CO4 3BG,68,15,83,Yes,124,0,124,Yes,Quarterly,4,32.758977,-113.97386
220,Runcorn,757,Bangor,LL57 1DQ,40,44,84,Yes,0,45,45,Yes,Bi-monthly,6,53.2226517,-4.1333502
220,Runcorn,1495,WAR-Old Liverpool Road,WA5 1AP,47,37,84,Yes,45,127,172,Yes,Bi-monthly,6,53.387569,-2.6102351
250,Belvedere,242,LON-Walworth,SE17 1TY,28,56,84,Yes,34,59,93,Yes,Monthly,12,51.49135,-0.08326
260,Newton Aycliffe,1379,Guisborough,TS14 7LG,45,39,84,Yes,0,46,46,Yes,Quarterly,4,54.5304459,-1.0595055
310,Northfleet,1601,Hawkinge,CT18 7RH,51,33,84,Yes,78,0,78,Yes,Bi-monthly,6,51.11239945,1.16036925
340,Doncaster,1536,Skegness,PE25 3PQ,41,43,84,Yes,52,43,95,Yes,Bi-monthly,6,53.13928024406779,0.33341688644067796
460,Avonmouth,944,OXF-Watlington Road,OX4 6NF,45,39,84,Yes,0,258,258,Yes,Bi-monthly,6,51.72695916666667,-1.195271733
490,Motherwell,1522,LVN-Alderstone Road,EH54 7DN,19,65,84,Yes,0,117,117,Yes,Bi-monthly,6,55.88616155,-3.5236008
590,Peterborough,1489,COL-Gosbecks Road,CO2 9JT,59,25,84,Yes,105,0,105,Yes,Bi-monthly,6,51.8692279,0.86745585
220,Runcorn,1249,Holywell,CH8 7UP,26,59,85,Yes,0,73,73,Yes,Quarterly,4,53.2728784,-3.218113
250,Belvedere,1430,LON-Norwood,SE19 3UZ,37,48,85,Yes,50,68,118,Yes,Bi-monthly,6,51.4184399,-0.10332
250,Belvedere,1984,LON-Sutton Town Centre,SM1 1PG,40,45,85,Yes,132,85,217,Yes,Monthly,12,51.3679095,-0.19466555
260,Newton Aycliffe,1925,Hexham,NE46 3PD,24,61,85,Yes,105,45,150,Yes,Quarterly,4,54.9731963,-2.097219
310,Northfleet,794,Crowborough,TN6 1AS,60,25,85,Yes,67,0,67,Yes,Quarterly,4,51.06032146,0.15934525
340,Doncaster,1677,MAN-Radcliffe,M26 1AB,45,40,85,Yes,0,110,110,Yes,Bi-monthly,6,53.5580347,-2.3264791
360,Wednesbury,1104,SHR-Harlescott Lane,SY1 3AA,31,54,85,Yes,0,54,54,Yes,Quarterly,4,52.7362949,-2.7257581
590,Peterborough,763,Caister on Sea,NR30 5JL,37,48,85,Yes,90,0,90,Yes,Quarterly,4,52.64851585,1.7248091
600,Luton,1950,Hemel Hempstead-Jarman Fields,HP2 4JS,9,76,85,Yes,0,113,113,Yes,Monthly,12,51.74806227777778,-0.4563645
220,Runcorn,1350,WIG-Standish,WN6 0JF,28,58,86,Yes,0,103,103,Yes,Quarterly,4,53.5892301,-2.66762232
250,Belvedere,1271,LON-Chessington,KT9 2HY,29,57,86,Yes,0,113,113,Yes,Quarterly,4,51.3604903,-0.3100315
250,Belvedere,1428,LON-Bexleyheath,DA6 7LN,39,47,86,Yes,52,91,143,Yes,Bi-monthly,6,50.81590844697659,4.391026315439101
250,Belvedere,1651,LON-Epsom,KT17 4ER,42,44,86,Yes,80,91,171,Yes,Bi-monthly,6,51.3343182,-0.2603346
300,Bridgend,221,Aberystwyth,SY23 1LL,32,54,86,Yes,45,31,76,Yes,Bi-monthly,6,52.41318912,-4.08014306
300,Bridgend,775,CAR-Cathays,CF24 4HQ,32,54,86,Yes,168,173,341,Yes,Monthly,12,51.4923278,-3.18378654
320,Southampton,1451,Portchester,PO16 9SF,12,74,86,Yes,139,124,263,Yes,Bi-monthly,6,50.8466535,-1.1180777
340,Doncaster,1453,Normanton,WF6 2AY,33,53,86,Yes,0,61,61,Yes,Bi-monthly,6,53.70068326,-1.420569888
430,Exeter,1714,PAI-White Rock Way,TQ4 7RZ,54,32,86,Yes,0,36,36,Yes,Bi-monthly,6,50.4128004,-3.5785863
250,Belvedere,391,LON-Morden,SM4 5LN,38,49,87,Yes,18,131,149,Yes,Monthly,12,51.4013351,-0.1937558
260,Newton Aycliffe,1372,LEE-Chapel Allerton,LS7 3PG,18,69,87,Yes,89,60,149,Yes,Bi-monthly,6,53.82872335,-1.53829925
260,Newton Aycliffe,1592,Blyth,NE24 5SU,30,57,87,Yes,2,39,41,Yes,Quarterly,4,55.1315371,-1.5283687
310,Northfleet,519,Ashford,TN24 8TN,35,52,87,Yes,120,0,120,Yes,Bi-monthly,6,51.1507472,0.8691931
310,Northfleet,1437,Sittingbourne,ME10 1AR,44,43,87,Yes,52,0,52,Yes,Bi-monthly,6,51.3410301,0.73075112
320,Southampton,1295,Salisbury,SP1 2NZ,34,53,87,Yes,0,123,123,Yes,Quarterly,4,51.0629073,-1.7763857
340,Doncaster,1155,HUD-Wakefield Road,HD1 3PD,38,49,87,Yes,0,72,72,Yes,Bi-monthly,6,53.6425774,-1.7690776
430,Exeter,1215,PLY-North Prospect,PL2 2AB,42,45,87,Yes,45,27,72,Yes,Bi-monthly,6,50.38809,-4.16818
490,Motherwell,721,Prestonpans,EH32 9AN,17,70,87,Yes,3,70,73,Yes,Bi-monthly,6,55.9628755,-2.9776577
490,Motherwell,964,MOT-New Stevenston,ML1 4JN,15,72,87,Yes,70,139,209,Yes,Bi-monthly,6,55.8109,-3.97368
600,Luton,1599,Dunstable,LU5 4LW,26,61,87,Yes,0,63,63,Yes,Quarterly,4,51.88809055,-0.50124315
250,Belvedere,1581,LON-Wimbledon,SW17 0BW,26,62,88,Yes,42,110,152,Yes,Monthly,12,51.4301698,-0.1851562
260,Newton Aycliffe,1176,Alnwick,NE66 2QL,48,40,88,Yes,0,46,46,Yes,Quarterly,4,55.4090346,-1.69755
300,Bridgend,1634,GLO-Coney Hill,GL4 4LP,35,53,88,Yes,35,0,35,Yes,Bi-monthly,6,51.8552618,-2.22170738
310,Northfleet,1431,SOS-Eastwood,SS9 5PR,70,18,88,Yes,81,0,81,Yes,Quarterly,4,51.5703007,0.6460659
340,Doncaster,1915,Retford,DN22 6DS,32,56,88,Yes,0,63,63,Yes,Quarterly,4,53.3169427,-0.9393401
360,Wednesbury,1695,STO-Trentham Road,ST3 4DY,21,67,88,Yes,0,72,72,Yes,Bi-monthly,6,52.9842358,-2.1352582
360,Wednesbury,1921,SOL-Shirley,B90 4QY,31,57,88,Yes,0,74,74,Yes,Bi-monthly,6,52.40147312727272,-1.8165174
360,Wednesbury,1262,TEL-Hadley,TF1 5YN,24,64,88,Yes,0,112,112,Yes,Bi-monthly,6,52.6986,-2.5029
430,Exeter,1274,CHR-Somerford Road,BH23 3PP,52,36,88,Yes,0,32,32,Yes,Bi-monthly,6,50.73735235,-1.7519063
430,Exeter,1510,Minehead,TA24 5BY,47,41,88,Yes,0,60,60,Yes,Bi-monthly,6,51.2013646,-3.46389195
490,Motherwell,1113,Arbroath,DD11 1HT,26,62,88,Yes,4,71,75,Yes,Bi-monthly,6,56.5591174,-2.5839546
590,Peterborough,1073,Langley Mill,NG16 4HY,73,15,88,Yes,55,0,55,Yes,Quarterly,4,53.01753,-1.32356
590,Peterborough,1613,NOT-Carlton Road,NG3 2AS,48,40,88,Yes,58,131,189,Yes,Monthly,12,52.956326310526315,-1.131628884
590,Peterborough,1661,Shirebrook,NG20 8TY,73,15,88,Yes,43,0,43,Yes,Bi-monthly,6,53.2023465,-1.2105526
590,Peterborough,1793,PET-Sugar Way,PE2 9AY,54,34,88,Yes,131,0,131,Yes,Bi-monthly,6,52.5630425,-0.259708
600,Luton,2019,HTR-Houghton Road,LU5 5AX,25,63,88,Yes,0,0,0,No,Quarterly,4,51.89969,-0.52571
250,Belvedere,1503,LON-Hersham,KT12 4RG,31,58,89,Yes,103,50,153,Yes,Bi-monthly,6,51.3676135,-0.3957073
250,Belvedere,2161,LON-Bellingham,SE6 3RS,25,64,89,Yes,64,80,144,Yes,Quarterly,4,51.4265199,-0.02729
300,Bridgend,1074,Porth,CF39 9BL,29,60,89,Yes,0,50,50,Yes,Quarterly,4,51.61447203333333,-3.4187034
300,Bridgend,1836,Cross Hands,SA14 6SY,24,65,89,Yes,0,33,33,Yes,Quarterly,4,51.79823906153847,-4.086550654
310,Northfleet,772,SOS-Hadleigh,SS7 2DE,48,41,89,Yes,93,0,93,Yes,Quarterly,4,51.5520003,0.6114228
310,Northfleet,1901,SOS-London Road,SS1 1PA,63,26,89,Yes,115,9,124,Yes,Bi-monthly,6,42.0662566,11.814278550000001
340,Doncaster,1450,SHE-Castlebeck,S2 1AS,24,65,89,Yes,0,100,100,Yes,Bi-monthly,6,53.3718791,-1.4174933
360,Wednesbury,1559,NUN-Hinckley Road,CV11 6LF,32,57,89,Yes,0,83,83,Yes,Bi-monthly,6,52.5281531,-1.4571767
590,Peterborough,1578,Heacham,PE31 7JF,49,40,89,Yes,72,0,72,Yes,Quarterly,4,52.9052423,0.5032139
590,Peterborough,1850,MFL-Woodhouse,NG19 9AQ,47,42,89,Yes,51,0,51,Yes,Quarterly,4,53.1572196,-1.1906996
260,Newton Aycliffe,1609,Knaresborough,HG5 0DH,34,56,90,Yes,0,110,110,Yes,Quarterly,4,54.00914655,-1.45482845
320,Southampton,1889,Alton,GU34 2GE,33,57,90,Yes,45,125,170,Yes,Quarterly,4,51.15813,-0.95525
340,Doncaster,1081,LEE-Oulton,LS26 8HP,35,55,90,Yes,0,100,100,Yes,Bi-monthly,6,53.75133384,-1.448202675
590,Peterborough,1136,Braintree,CM7 2QS,16,74,90,Yes,60,0,60,Yes,Bi-monthly,6,51.87890323333333,0.5374168666666667
600,Luton,1718,Stratford Upon Avon,CV37 0BT,75,15,90,Yes,0,42,42,Yes,Quarterly,4,52.19921988,-1.7140068
460,Avonmouth,1797,RED-Battens Drive,B98 0LJ,37,54,91,Yes,0,60,60,Yes,Bi-monthly,6,52.3066594,-1.90958305
490,Motherwell,1264,Dalry,KA24 4LA,21,70,91,Yes,0,45,45,Yes,Quarterly,4,55.7042509,-4.7249418
300,Bridgend,1513,CAR-Llanishen,CF14 4HH,40,52,92,Yes,0,45,45,Yes,Bi-monthly,6,51.5202179,-3.200512
300,Bridgend,1920,Brynmawr,NP23 4PW,5,87,92,Yes,0,35,35,Yes,Quarterly,4,51.79675,-3.17672
320,Southampton,421,SOU-Totton,SO40 3AG,10,82,92,Yes,0,83,83,Yes,Quarterly,4,50.91802616666667,-1.486073167
