Region,Region Name,Number of people needed (5 am - 9 am),Number of people needed (5 am - 9 pm)
460,Avonmouth,56,15
250,Belvedere, 54,14
300,Bridgend,37,10
340,Doncaster,63,17
290,Enfield,36,10
430,Exeter,49,13
600,Luton,30,8
490,Motherwell,68,18
260,Newton Aycliffe,52,14
310,Northfleet,28,8
590,Peterborough,48,13
220,Runcorn,40,11
320,Southampton,44,12
360,Wednesbury,53,14
