,Region,Region Name,Store,Store Name,Store Postcode,Small Trolley,Large Trolley,Total Trolleys,Trolleys (Y/N),Handheld Basket,Rollable Basket,Total Baskets,Baskets (Y/N),Frequency of Basket Clean,Total per Annum,Latitude,Longitude,Estimated Cleaning Time,Cleaning Time
296,590,Peterborough,837,SPD-Winsover Rd,PE11 1EJ,32,30,62,Yes,59,0,59,Yes,Quarterly,4,52.78725808,-0.156811338,101.33333333333334,101
297,590,Peterborough,1511,BOS-Tawney Street,PE21 6RS,47,15,62,Yes,82,0,82,Yes,Bi-monthly,6,52.980903,-0.0213311,116.66666666666669,117
298,600,Luton,1550,NTH-Towcester Road,NN1 1BQ,41,21,62,Yes,0,80,80,Yes,Quarterly,4,52.2313939,-0.9017093,142.00,142
299,600,Luton,1664,AYL-Oakfield Road,HP20 1GD,42,20,62,Yes,0,48,48,Yes,Bi-monthly,6,51.81979,-0.79076,110.00,110
300,250,Belvedere,1433,LON-Mottingham,SE9 4QW,26,37,63,Yes,54,42,96,Yes,Bi-monthly,6,51.4372322,0.0427336,141.00,141
301,250,Belvedere,1688,LON-Foots Cray High Street,DA14 5HJ,7,56,63,Yes,140,63,203,Yes,Bi-monthly,6,51.4185908,0.1195217333333333,219.33333333333334,219
302,310,Northfleet,1760,Edenbridge,TN8 6EJ,53,10,63,Yes,72,0,72,Yes,Bi-monthly,6,51.2071505,0.0632998,111.00,111
303,310,Northfleet,1803,Canvey Island,SS8 0PU,42,21,63,Yes,57,0,57,Yes,Quarterly,4,51.5229159,0.5556089,101.00,101
304,320,Southampton,1436,Petersfield,GU32 3EE,17,46,63,Yes,0,115,115,Yes,Quarterly,4,51.0068494,-0.9421571,178.00,178
305,340,Doncaster,1580,GRI-Ladysmith Road,DN32 9SW,26,37,63,Yes,0,68,68,Yes,Bi-monthly,6,53.55786329,-0.06561092,131.00,131
306,340,Doncaster,1666,HUL-Brighton Street,HU3 4UW,25,38,63,Yes,0,70,70,Yes,Bi-monthly,6,53.7328128,-0.3773971,133.00,133
307,590,Peterborough,482,IPS-Handford Road,IP1 2EH,49,14,63,Yes,59,0,59,Yes,Bi-monthly,6,52.057617,1.1370168,102.33333333333333,102
308,260,Newton Aycliffe,1834,Peterlee,SR8 5AR,3,61,64,Yes,0,56,56,Yes,Bi-monthly,6,54.760596420000006,-1.33808264,120.00,120
309,360,Wednesbury,2030,DER-Foresters Park,DE23 8AG,16,48,64,Yes,0,160,160,Yes,Quarterly,4,52.896453477777776,-1.476786833,224.00,224
310,360,Wednesbury,965,BIR-Erdington,B24 9PJ,25,39,64,Yes,0,149,149,Yes,Bi-monthly,6,52.51739953076923,-1.821272065,213.00,213
311,360,Wednesbury,1247,STO-Tunstall,ST6 5EG,24,40,64,Yes,0,75,75,Yes,Quarterly,4,53.0637267,-2.2117931,139.00,139
312,490,Motherwell,1270,Johnstone,PA5 8JX,28,36,64,Yes,0,68,68,Yes,Bi-monthly,6,55.8364326,-4.5082209,132.00,132
313,220,Runcorn,308,LIV-City Centre,L3 8JN,18,47,65,Yes,0,50,50,Yes,Monthly,12,53.4097909,-2.969592033,115.00,115
314,250,Belvedere,671,LON-Wallington,SM6 0HU,25,40,65,Yes,45,56,101,Yes,Monthly,12,51.3592312,-0.1503324,151.00,151
315,250,Belvedere,1461,LON-Richmond,TW1 2EF,41,24,65,Yes,70,86,156,Yes,Monthly,12,51.456123320833335,-0.309663829,197.66666666666669,198
316,260,Newton Aycliffe,1373,Wigton,CA7 9HG,25,40,65,Yes,98,60,158,Yes,Quarterly,4,54.8261177,-3.156109,190.33333333333331,190
317,260,Newton Aycliffe,1424,NEW-Slatyford,NE5 2SF,46,19,65,Yes,31,64,95,Yes,Bi-monthly,6,54.9905243,-1.675015167,149.66666666666666,150
318,260,Newton Aycliffe,1676,STK-Junction Road,TS19 9NA,15,50,65,Yes,40,40,80,Yes,Quarterly,4,54.593348,-1.3453752,131.66666666666666,132
319,320,Southampton,1926,BAS-Hatch Warren Retail Park,RG22 4TT,14,51,65,Yes,0,47,47,Yes,Quarterly,4,51.2344067,-1.1416991,112.00,112
320,340,Doncaster,461,SCU-Doncaster Road,DN15 7DE,24,41,65,Yes,0,98,98,Yes,Bi-monthly,6,53.59107175,-0.65818935,163.00,163
321,430,Exeter,691,Okehampton,EX20 1EU,56,9,65,Yes,0,90,90,Yes,Quarterly,4,50.7408337,-4.003382,155.00,155
322,490,Motherwell,362,Leven,KY8 4HJ,30,35,65,Yes,0,67,67,Yes,Quarterly,4,56.195894,-2.99574355,132.00,132
323,490,Motherwell,1144,Musselburgh,EH216QD,23,42,65,Yes,0,98,98,Yes,Bi-monthly,6,55.9437924,-3.06762255,163.00,163
324,490,Motherwell,1367,GLA-Victoria Road,G42 7RP,10,55,65,Yes,0,60,60,Yes,Monthly,12,55.8381133,-4.264456775,125.00,125
325,490,Motherwell,1821,Cowdenbeath,KY4 9FF,16,49,65,Yes,0,92,92,Yes,Quarterly,4,56.11419,-3.34294,157.00,157
326,590,Peterborough,1114,NOT-Netherfield,NG4 2HD,40,25,65,Yes,50,0,50,Yes,Quarterly,4,52.96218025,-1.0696623,98.33333333333334,98
327,600,Luton,664,LON-Edgware,HA8 7DD,25,40,65,Yes,0,131,131,Yes,Monthly,12,51.61004925,-0.2791226,196.00,196
328,600,Luton,825,NTH-Weston Favell,NN3 8JL,42,23,65,Yes,0,78,78,Yes,Bi-monthly,6,52.25608613333333,-0.836816633,143.00,143
329,250,Belvedere,1791,LON-Upper Tooting Road,SW17 7EW,36,30,66,Yes,72,170,242,Yes,Monthly,12,51.4314498,-0.1647051,284.00,284
330,260,Newton Aycliffe,952,Catterick,DL9 4RP,20,46,66,Yes,0,42,42,Yes,Quarterly,4,54.3802896,-1.6789571,108.00,108
331,290,Enfield,396,LON-Tottenham,N15 4QD,0,66,66,Yes,0,190,190,Yes,Monthly,12,51.58734011904762,-0.062048529,256.00,256
332,300,Bridgend,1459,CAR-Station Road,CF14 2FB,25,41,66,Yes,0,72,72,Yes,Quarterly,4,51.5033911,-3.2275474,138.00,138
333,310,Northfleet,1052,Bexhill,TN39 5BB,25,41,66,Yes,48,0,48,Yes,Bi-monthly,6,50.856743357894736,0.4699167578947368,98.00,98
334,320,Southampton,1106,HAV-Leigh Park,PO9 5AN,5,61,66,Yes,122,132,254,Yes,Bi-monthly,6,50.8675268,-0.9826552,279.3333333333333,279
335,340,Doncaster,1382,Clitheroe,BB7 1LZ,37,29,66,Yes,0,38,38,Yes,Quarterly,4,53.8705715,-2.3877995,104.00,104
336,340,Doncaster,1505,RCH-Spotland Road,OL12 6TS,35,31,66,Yes,0,97,97,Yes,Bi-monthly,6,53.6192754,-2.1605984,163.00,163
337,340,Doncaster,2037,MAN-Great Clowes Street,M7 1AQ,25,41,66,Yes,0,148,148,Yes,Bi-monthly,6,53.4918605,-2.260493,214.00,214
338,360,Wednesbury,321,Stourbridge,DY8 4BA,37,29,66,Yes,0,53,53,Yes,Quarterly,4,52.47115895,-2.15357465,119.00,119
339,490,Motherwell,1112,Tain,IV19 1PY,34,32,66,Yes,0,56,56,Yes,Quarterly,4,57.816337571428576,-4.065800414,122.00,122
340,590,Peterborough,774,Dereham,NR19 1WB,31,35,66,Yes,111,0,111,Yes,Quarterly,4,52.67206,0.9549062666666666,140.00,140
341,590,Peterborough,1334,Alfreton,DE55 7JJ,36,30,66,Yes,56,0,56,Yes,Quarterly,4,53.09841748,-1.38148568,103.33333333333334,103
342,590,Peterborough,1641,NOR-Sprowston,NR7 8AB,45,21,66,Yes,98,0,98,Yes,Bi-monthly,6,52.66093426666667,1.3349333,131.33333333333331,131
343,250,Belvedere,521,LON-Croydon,CR0 2RF,35,32,67,Yes,39,98,137,Yes,Monthly,12,51.37960947,-0.1045477,191.00,191
344,250,Belvedere,1708,LON-Hackbridge,SM6 7DS,24,43,67,Yes,137,82,219,Yes,Bi-monthly,6,51.3780012,-0.1554406,240.33333333333331,240
345,260,Newton Aycliffe,1862,STK-Southern Gateway,TS18 3FH,41,26,67,Yes,67,12,79,Yes,Bi-monthly,6,54.56037,-1.31222,123.66666666666667,124
346,320,Southampton,835,Crowthorne,RG45 7AZ,16,51,67,Yes,0,67,67,Yes,Bi-monthly,6,51.3703226,-0.7923411,134.00,134
347,320,Southampton,1908,NBY-Newbury Retail Park,RG14 7HU,13,54,67,Yes,21,66,87,Yes,Bi-monthly,6,51.38537489090909,-1.318316386,147.00,147
348,360,Wednesbury,1217,DER-Chaddesden,DE21 6NA,30,37,67,Yes,0,72,72,Yes,Quarterly,4,52.92500013181818,-1.43973575,139.00,139
349,360,Wednesbury,1739,Uttoxeter-Brookside Road,ST14 8AT,31,36,67,Yes,0,55,55,Yes,Quarterly,4,52.8979998,-1.8592646,122.00,122
350,430,Exeter,1390,Pool,TR15 3EE,53,14,67,Yes,0,53,53,Yes,Quarterly,4,50.2282663,-5.2624282,120.00,120
351,460,Avonmouth,1445,WOR-Blackpole Road,WR3 8SE,32,35,67,Yes,0,90,90,Yes,Bi-monthly,6,52.21826,-2.19396,157.00,157
352,490,Motherwell,1952,Barrhead,G78 1DS,27,40,67,Yes,0,52,52,Yes,Quarterly,4,55.80801,-4.38002,119.00,119
353,600,Luton,279,HLW-Staple Tye,CM18 7PJ,67,0,67,Yes,0,41,41,Yes,Monthly,12,51.7533112,0.092410367,108.00,108
354,600,Luton,1496,Letchworth,SG6 1WG,37,30,67,Yes,40,30,70,Yes,Quarterly,4,51.9840326,-0.2032865,123.66666666666666,124
355,220,Runcorn,1636,Prestatyn,LL19 9DG,26,42,68,Yes,0,52,52,Yes,Quarterly,4,53.3337685,-3.40616515,120.00,120
356,220,Runcorn,1982,LIV-Great Homer Street,L5 5AA,28,40,68,Yes,0,20,20,Yes,Bi-monthly,6,53.4244705,-2.980263,88.00,88
